key	dawoud-pages	dawoud-pages-redone
2050		
2051		
2053		
870		
1996		
107		
134		
2057		
984		
2727		
2058		
2063		
2056		
2059		
2064		
2055		
985		
2060		
2065		
357		
2061		
2062		
980		
2073		
67		
2095		
2236		
407		
225		
2104		
2151		
63		
2168		
2170		
2180		
114		
372		
2247		
2274		
189		
318		
2289		
2103		
2301		
2238		
90		
2292		
466		
2133		
2179		
2083		
235		
53		
2278		
2245		
3281		
2089		
2268		
477		
2227		
2305		
2341		
2224		
2256		
2096		
2094		
1127		
2119		
2129		
2204		
274		
2311		
2316		
2100		
2130		
2131		
3237		
2138		
3238		
2141		
367		
3242		
2152		
3259		
3247		
1125		
51		
2150		
2154		
2172		
3255		
2165		
3248		
3253		
2161		
3256		
3258		
2182		
2183		
3265		
2187		
2188		
3267		
100		
2318		
2228		
2231		
2232		
906		
3272		
2276		
351		
2288		
2307		
3290		
2308		
2328		
2334		
3297		
66		
2352		
2124		
3235		
295		
2125		
2101		
2102		
3232		
401		
2122		
3279		
41		
3243		
3254		
2145		
2166		
2177		
2197		
2221		
900		
2201		
2217		
2223		
3273		
3278		
2261		
2272		
2340		
227		
2106		
2105		
2121		
2136		
3249		
2184		
2190		
2191		
2212		
2213		
2214		
2215		
2317		
3274		
2237		
3280		
19		
2290		
2353		
2303		711a
2107		
2108		
2109		
2110		
101		
714		
2132		
2156		
2206		
2216		
334		
2111		
2319		
3275		
694		
190		
646		
2123		
58		
2148		
3260		
2157		
2160		
2167		
2169		
2173		
3252		
2175		
718		
3261		
2159		
957		
2194		
3264		
2198		
232		
2196		
2225		
3271		
3268		
71		
2112		
2293		
3266		
2128		
2115		
2116		
2113		
2114		
2332		
3296		
2139		
2140		
3239		
3240		
3241		
2146		
2155		
2178		
2185		
2186		
2219		
2192		
352		
1032		
2202		
2222		
3269		
3270		
2226		
2326		
2229		
2235		
3276		
2264		
2267		
2275		
986		
934		
2286		
2287		
2291		
3288		
2296		
249		
2313		
3295		
2324		
2325		
3263		
2320		
2321		
2323		
2336		
312		
2342		
2346		
2349		
2351		
394		
195		
2295		
2243		
2244		
2248		
2263		
2249		
3283		
371		
2260		
2262		
2246		
2254		
2255		
3282		
2253		
2258		
2271		
2269		
2270		
336		
496		
1822		
2273		
3286		
888		
2265		
2277		
2300		
2302		
2304		
2309		710a-710b
2310		710b
2312		710b
3236		
925		711a-711b
2118		711b-712a
120		712a-714a,655b
2120		712a
2126		714a
79		714a-714b
698		715a
2242		715a
2294		715a,693a
2137		715b,644b-645a
2142		715b-716b
2143		645a,716b
3245		524b
2144		716b-717a
3244		
3250		717a
2162		717a-717b
2153		717b
2176		717b
2181		717b-718a
462		718a-718b,694b
981		718b
2208		719a
2207		719a-719b
2209		
2210		719b
2218		
2220		719b
910		645a-645b,719b
919		719b-720a,695b
1146		720a-720b
166		721a
2329		721a-721b
37		721b-722a
2230		722a
2234		722a
2240		722a
3277		722a
2250		722b
2252		722b
486		722b
2257		722b-723a
3285		723a
2280		723a-723b
2282		723b,726b,703b
2281		723b-724a
2285		
473		724a-724b,726b
3289		
814		724b-725b
3292		88b
2147		726a
3251		726a
2193		726a,650a
2333		726b-727a
464		
2339		727a
2343		727b
2345		727b
2344		727b,703b,672a
3298		727b
3299		
2297		728a
2298		728b
2299		728a-728b
2233		728b,705a
2338		728b
2347		728b
2348		728b
2350		761a,728b,705a
2314		710a
2369		736b-737a
2496		733b,729a
205		729b
2497		
2373		729a
3300		
390		729b-730b,486b,791a-791b
2375		
2380		
2389		730b-731a
3314		
2401		731a
2411		731b
2419		731b-732a,729a
2420		732a
3328		732a
2431		732a
2421		732a
3342		
2435		732a
2601		732a,793a,90b
2437		
2438		732a
194		732a,793a,797b
3331		732a
2448		732a,783a
2458		732b
2463		732b
2466		732b
2600		732b
2477		732b
2478		732b
2479		733a
2655		733a,794b
3349		
3348		
2493		733a
887		733a,734a
2498		733b-734a
2659		734a,794b
2499		734a
2504		734a
813		734b,734a
2370		734b
2355		734b
365		734a-735b,228b
2416		752b-753a,736a
490		737a,772b-773a,729a,791a,794b,816a,816b
2368		737a,734b
2376		737b
2387		737b
2395		737b
3310		737b
2537		738a,796a
2563		738a,815b
699		738a
3317		
2589		738a,731b,804b
701		738b,758a
2412		738b
2413		739a,738b,752b
188		740a
2428		740a
2590		740a,812a,796b
2596		740a-740b
2442		740b,783a,761b
3332		
2453		740b
2619		741a,817b
414		760a-761a,741a
2384		741a-742a,737b
2480		
2502		742b
2503		742b
649		750a,742b
3301		742b
2454		742b
172		742b
2390		743a
3382		
469		743a-743b,827a
2439		743b-744a
2444		744a
2445		744a,750a
2446		
3330		744a
3335		
2459		744a
3346		
2481		744b,733a
2357		748a
3307		
2383		748a
2400		748a
47		748a-748b,738a,804a
2415		748b,750a
2571		749a,804a
3327		
2591		750a
2592		750a,805a
3340		
3341		
3329		
2440		750b
2456		750b,744a,741a
1700		750b,453b
3336		
3345		751a
2482		751a
2488		751a
150		751a-751b,807a
1698		751b,840b
2500		
2501		751b,807a
2379		752a
3308		
3312		
3315		
3316		752a
3311		752a
2403		752a-752b
2414		752b
1054		752b
3320		752b
3321		
3322		
2422		753a
2423		753a
2424		754a,743a
3326		
2360		755a,17b
3338		
2363		755b,51b
2377		730b
2385		756a
2388		756a-756b,737b
2391		756b
2525		756b,832b
2397		756b
2404		756b,760a
2408		757b
700		757b-758a
151		758a-759a,815b
2410		759a
2570		759a,815b
2572		759a-759b
2580		759b,815b,804a-804b
2472		761a
3343		761a
2434		761a
2433		761a
2449		762a
702		762b
2614		817a,762b
2623		762b,741a,817b
2626		763a-763b
2382		763b,776b
3304		
2386		763b,764a,776b
2392		764a
223		764a-766a
2483		766a,742a
2650		766b,819a
2475		766b
936		766b,819a-819b
719		766b-767a,755b
2436		767a
112		768a,823a
3333		
3334		
2465		768a-768b,744a
3344		768b
408		768b,767a-767b
6		768b-770a,767b
2512		770a,794b
2476		770b
39		770b-771b,736a-736b,755b,17a
2362		755a-755b,755b,748a
2365		772b
2378		787a,776a
2364		771b-772b
327		773a,832a,824b
2371		773a-773b
2366		773b
2523		773b-774a,813b
2460		774a,755b
229		774a-776a
2381		776a-776b
2393		777b
3358		777b,832a,737b
2394		
2398		777b-778a
2406		778b-779a,757b
2407		778b,757a
2405		779a
2409		779a
358		779a-779b,826a
311		779b-780a
3319		
310		780a
2425		826b-827a,781a
2581		780a-780b,827a
251		781a,603a
2430		781a
2470		781a-781b
470		781b,827b
935		781b,816b,793b
2643		781b,827b
2441		782b-783a
2447		781b-782b,787b
2443		783a
2452		783a
711		784a-784b
2616		51b,784b,830b
703		784b-785a,762a,830b
705		785a,762a,830b
706		785a-785b,762a-762b,830b
2462		785b
2473		764a,785b
2631		785b,831a
2461		785b
2464		785b
2468		786b
2367		787a
2396		787b
2644		787b-788a,832b,742a
2484		788b,766a-766b
2485		788b
835		789a-789b,833b
2494		789a
2495		
226		789b-790a,833b
2653		790a-790b,832b
3350		
2492		
2542		808a,796a
2544		796a
2557		796a,808a
2506		791a
905		793b-794a
2641		
3357		791a
2513		791a,794a,92b
2566		791a
2374		791b,730b
2558		791b-792a
921		792a,546a
2550		792a
2553		792a
2539		792a
2559		792b,731a
2564		792b
2569		792b,731b
2585		792b-793a
2599		793a
3367		
3368		
2613		793a
811		798a-798b,793a
2621		793a
2467		793b,732b
3374		793b
3376		794a
651		794a,833b
3351		794a,733b
2651		794a-794b
2654		794b
2658		794b
3378		
2515		813b,794b
2514		795b,803b
2538		796a
2522		796a
741		796b,753a
161		797a-797b
117		798a,740b
2622		
3371		
2649		799a
2490		788b-789a,799a
2657		799b
2509		799b
2637		799b,800a
2594		800a
2646		800a
131		800a-803b,745a-747b
2356		803b,748a
2511		803b-804a
2510		804a,99b
2517		804a
3359		
2567		804a
2576		804a
2573		
2582		804a,796b
2588		
154		805a,750b
2597		805b
2603		805b
16		805b-807a,750b
2457		807a,750b
2634		807a,100b
2632		807a
2518		807b,791b
2526		807b,808a
2543		578b,807b
2549		807b-808a
1911		579a,808a,580a
2527		808a
2528		
2540		808a
2541		
3362		
2530		808a-808b
2529		808b
2531		808b
2545		808b-809a
2562		809a
2560		809a
2561		809a
3363		
3361		
2532		809a
2535		809a
2555		809a
2552		809a-809b
59		810b,753a
191		810b-811a,753a-753b
2574		811a,830b
2577		811a-811b
2578		811b,811a,753b
60		811b-812a,754a-754b
2584		812a
2427		812a,581b,754b,740a
2426		812a,754a
2593		812a
105		812b-813a,755a
2358		812a-812b,754b-755a
17		813b-814a,755b
77		814a-814b
2534		814b,583a
2565		
2474		815b,816a,761a
2551		816a
2642		816b
645		816b-817a
2583		816b
2595		817a
2628		818a
2629		818a
932		818a-818b
3377		819a
2638		819a
2639		819a
2491		766b,819a
2640		819a
2598		
2486		819b,766b
2489		819b,788b
2652		819b-820b
2605		820b
2604		
3370		
2606		820b-821a
2612		821a
2618		821a
2620		821a
2609		
187		821a-822a
2610		822a
2617		822b-823a
2607		823a
2611		823a
80		823b-824a
3354		
3355		
2516		824b
2568		
1031		824b,787a-787b
2520		824b-825a
2402		778a-778b,825a
713		825a-826a,778a
2546		826a
2547		826a
2548		826a
742		826b
3364		
2586		827a
2587		827a
902		827b-828b
2602		828b,819a
2451		828b-829a,784a
2608		
27		829b-830b
2615		830b
2455		830b,785b
2625		831a
2633		831a-831b
2635		832a,793b
2636		786a-786b,832a
2524		832a-832b
493		832b
2647		832b
141		832b-833a,789a
2505		833a-833b,790b
2656		833b,819a
2		834a-837b,162a
3103		838a
181		838b,453b
158		839b
1684		840a,450a
3137		840b
1658		840b
488		
497		
552		
561		
758		
855		
860		
971		
994		
1035		
1043		
1067		
1129		
1176		
1185		
1190		
1192		
1255		289b-290a
1259		289b,445a,199a
1274		291b
1285		
1292		286b
1298		
1305		
1309		
1313		
1356		
1358		
1367		356b
1372		
1387		
1457		
1462		
1469		341b
1521		
1553		427a,445a,834a,55a
1555		427a
1557		428a
1558		445a
1559		
1581		
1591		
1630		
1645		
1657		428a,399a
1659		459b,428a
1661		472b
1674		
1690		
1697		
1712		266b,253b
1730		
1818		
1855		
1862		
1955		
1957		549a,16b
1975		
1982		
1992		
2001		
2015		
2026		
2054		
2066		
2067		
2068		
2069		
2070		
2071		
2072		
2074		627b
2075		628b
2076		
2077		
2078		632a
2079		
2080		
2081		632b
2082		633a
2084		634b
2085		645b
2086		629a
2087		641a
2088		641a,645b
2090		644a
2091		645b
2092		630b
2093		646b
2097		
2098		
2099		
2117		
2134		
2149		
2158		
2164		
2174		
2195		687a-687b,16b
2200		
2203		
2205		650b,663a
2211		
2241		
2259		
2266		
2279		
2283		
2306		
2327		
2335		
2359		
2372		
2399		
2418		
2429		
2432		760a,754b
2450		
2469		
2471		
2487		
2519		
2533		
2536		
2556		
2575		
2579		
2627		
2630		
2645		
2648		
2685		
2694		
2701		
2703		
2704		
2728		
2735		
2748		
2749		
2762		
2772		
2808		
2812		
2814		
2818		
2822		
2824		
2825		
2827		
2832		95b
2874		
2893		
2918		
2924		
2927		
2932		
2943		
2944		
2953		
2962		
2964		
2973		
2981		
2993		
2999		
3001		
3025		
3031		
3036		
3044		
3054		
3060		
3061		
3063		
3069		
3085		
3089		
3096		
3097		
3101		
3109		
3112		
3117		
3118		
3123		
3132		
3134		
3140		
3148		
3164		
3166		
3186		
3192		
3194		
3197		
3200		
3204		
3206		
3212		
3213		
3216		
3217		
3218		
3228		
3229		
3230		
3231		
3233		
3234		
3246		
3257		
3262		
3284		
3287		
3291		
3293		
3294		
3302		
3303		
3305		
3306		
3309		
3313		
3318		
3323		
3324		
3325		
3337		
3339		
3347		
3352		
3353		
3356		
3360		
3365		
3366		
3369		
3372		
3373		
3375		
3380		
3383		
